HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HD080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
10758800,114.05446,4,5,1.0,2013,2,1,,25.0,55.0,,1,1,,2.0,,2,1,2,2,3,1,3,3,300.0,2,,2,2,2,2,2699.68,2699.68,2699.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10758900,110.38585,4,1,4.0,2002,1,2,,25.0,50.0,,1,1,,3.0,,2,1,1,2,3,1,3,3,500.0,1,,2,2,2,2,3118.74,3118.74,3118.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10759100,112.24614,4,1,2.0,2002,2,1,,1.0,100.0,,1,1,,3.0,,1,1,1,3,3,1,3,4,300.0,2,,2,2,2,2,12948.4,11721.4,11721.4,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1227.0,0,0.0,8,6,1
10759200,85.86712,4,1,1.0,1984,2,2,,1.0,83.0,,1,1,,3.0,,2,2,2,2,3,1,3,2,500.0,1,,2,1,1,2,2408.28,2408.28,2408.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10759300,107.20438,4,1,2.0,1970,2,1,,30.0,82.98,,1,1,,3.0,,2,2,2,3,3,1,3,2,500.0,1,,2,1,1,1,4205.45,4205.45,4193.7,0.0,0.0,0.0,0.0,0.0,0.0,11.75,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10759400,51.05439,2,1,4.0,1970,2,1,,25.0,49.0,,3,1,,3.0,,2,1,2,2,3,3,3,2,400.0,2,,2,2,2,2,6444.08,6444.08,6444.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10759600,98.80348,4,1,1.0,1998,2,1,,,60.0,,1,1,,3.0,,2,2,2,3,3,1,3,1,600.0,1,,2,1,1,2,2986.32,2986.32,2986.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10759800,146.4556,4,1,4.0,1999,2,1,,50.0,100.0,,1,1,,3.0,,1,1,1,1,1,1,1,3,2500.0,2,,2,2,2,2,30720.81,24128.67,23858.49,23858.49,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,2.03,0,0,6590.11,-167,0.0,8,6,1
10759900,29.10692,4,1,2.0,1982,2,1,,1.0,97.0,,1,1,,3.0,,2,2,2,2,3,1,3,2,600.0,1,,2,2,2,2,9884.83,9884.83,7128.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,8,6,1
10760000,17.23374,4,1,2.0,1986,2,1,,50.0,125.0,,1,1,,3.0,,2,1,2,2,1,1,1,3,900.0,2,,2,2,2,2,14550.72,11676.81,9651.16,9651.16,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,5.0,0,0,2868.91,0,0.0,8,6,1
10760100,54.19488,2,5,1.0,1957,2,1,,30.0,62.92,,3,1,,3.0,,2,1,2,2,1,1,2,2,1000.0,2,,2,2,1,2,3889.76,3485.3,3096.61,3096.61,0.0,0.0,0.0,0.0,275.05,0.0,0,0,21.07,21.07,0,0.0,0.0,0.0,0,0,404.46,-21,0.0,8,6,1
