HB030,DB090,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HD080,HS090,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,AP,SL,M_K
40289500,80.23281,1,1,4.0,1984,1,2,,1.0,53.41,,3,3,,3.0,,2,2,2,2,2,2,1,800.0,1,,1,2,2,2,3563.07,3563.07,3563.07,927.15,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,299.58,9,7,2
40289700,206.63133,3,5,3.0,2002,1,1,,,73.83,,1,1,,3.0,,2,1,2,2,2,3,1,500.0,1,1.0,2,2,2,2,2322.72,2322.72,2322.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,9,7,2
40289800,32.34387,1,1,7.0,1966,2,1,,,115.42,,1,1,,3.0,,2,1,2,3,1,3,3,980.0,2,,2,2,2,2,5838.34,4800.0,4800.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1038.34,0,0.0,9,7,2
40289900,202.90102,1,1,5.0,1995,2,1,,,136.82999999999998,,1,1,,3.0,3.0,2,1,2,1,1,1,3,1400.0,2,,2,2,2,2,19679.57,16229.14,15523.99,15523.99,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,945,3450.43,-51,0.0,9,7,2
40290000,66.75135,1,1,2.0,2005,1,2,,1.0,40.59,,1,1,,3.0,3.0,2,1,2,3,2,1,2,700.0,1,,2,2,2,2,6199.79,6199.79,6199.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,9,7,2
40290100,42.38794,1,1,4.0,2003,2,1,,,113.33,,1,1,,3.0,,2,1,1,1,1,1,3,950.0,2,,2,2,2,2,10917.29,10352.21,4294.97,4294.97,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,565.08,0,340.8,9,7,2
40290200,460.28814,1,5,5.0,2002,2,1,,20.0,48.33,,3,3,,3.0,,1,1,1,3,1,3,3,800.0,3,,2,2,2,2,7115.39,5636.67,5636.67,5636.67,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1478.72,0,0.0,9,7,2
40290300,102.7926,1,1,4.0,1970,2,1,,,70.33,,3,3,,3.0,,2,1,2,3,3,3,3,680.0,2,,2,2,2,2,6093.9,6093.9,6093.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,109.76,9,7,2
40290400,105.5293,1,1,4.0,1986,2,1,,200.0,69.67,,3,3,,3.0,,2,1,2,2,1,1,2,500.0,2,,2,2,2,2,7890.74,7214.02,7214.02,4231.35,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,35.0,0,0,641.72,0,0.0,9,7,2
40290500,59.39835,1,1,5.0,1994,2,1,,,102.08,,1,1,,3.0,,2,1,1,3,1,1,3,900.0,2,,2,2,2,2,4690.14,4597.7,4597.7,4597.7,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,92.44,0,397.62,9,7,2
40290600,90.15264,1,1,5.0,1990,1,1,,,98.25,,1,1,,3.0,,2,1,2,2,2,2,1,625.0,1,,2,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,534.17,9,7,2
40290700,124.34016,1,1,4.0,1971,1,1,,1.0,69.58,,3,3,,3.0,,2,1,1,1,1,1,2,700.0,2,,2,2,2,2,15235.08,13861.21,13233.2,10544.18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1373.87,-240,367.81,9,7,2
40290800,106.87216,1,1,4.0,1984,2,1,,1.0,28.58,,3,3,,3.0,,1,1,1,3,3,1,3,575.0,3,,2,2,2,2,7187.16,7187.16,7187.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,9,7,2
40290900,384.7699,4,5,3.0,2008,1,2,,1.0,167.36,,3,3,,3.0,3.0,2,1,2,2,1,3,3,900.0,1,2.0,2,2,2,2,3794.81,3586.88,1841.18,1841.18,0.0,0.0,334.4,334.4,1153.04,258.26,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,207.93,0,0.0,9,7,2
40291000,259.457,1,1,4.0,2007,2,1,,1.0,42.17,,3,3,,3.0,,2,1,2,3,3,3,3,400.0,2,,2,2,2,2,3375.96,3375.96,3375.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,9,7,2
40291100,202.64258,1,1,6.0,1994,2,1,,,100.83,,1,1,,3.0,,2,2,2,2,3,3,2,700.0,2,,2,2,2,2,1627.78,1627.78,1627.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,118.84,9,7,2
40291300,75.17373,1,1,3.0,2000,1,1,,1.0,52.66,,3,3,,3.0,3.0,2,1,2,3,1,1,3,800.0,3,,2,2,2,2,3955.1,3552.32,3552.32,1787.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,13.0,0,0,389.78,0,1238.57,9,7,2
40291400,57.53013,1,1,5.0,1985,1,1,,70.0,96.67,,1,1,,3.0,3.0,1,1,2,1,1,1,3,625.0,2,2.0,2,2,2,2,18886.49,16056.18,10236.29,9984.29,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,28.0,0,0,2802.31,-105,0.0,9,7,2
40291500,136.20145,3,1,4.0,1981,2,1,,,81.67,,1,1,,3.0,,1,1,2,2,1,3,3,125.0,2,,2,2,2,2,3859.78,3816.78,3816.78,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,43.0,0,0,0.0,0,0.0,9,7,2
40291600,43.55229,1,1,6.0,1979,2,1,,,52.17,,1,1,,3.0,,2,1,1,1,1,1,5,850.0,3,,2,2,2,2,21875.76,17913.3,17913.3,11066.84,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,2100,0,1862.46,-97,1367.37,9,7,2
40291700,128.32311,5,4,10.0,2014,2,2,30.0,,30.0,,2,2,3.0,,,2,2,2,3,1,3,3,550.0,2,,2,1,1,2,7570.98,7418.92,7418.92,7418.92,0.0,0.0,0.0,0.0,0.0,0.0,4500,0,0.0,0.0,0,0.0,0.0,0.0,0,0,152.06,-241,0.0,9,7,2
40291900,116.80929,1,1,3.0,1980,1,1,,,29.659999999999997,,3,3,,3.0,,1,1,2,1,3,2,3,500.0,2,,1,2,2,2,9043.84,7200.0,7200.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,1843.84,0,246.36,9,7,2
40292000,224.5381,1,1,6.0,1993,2,1,,90.0,120.25,,1,1,,3.0,,2,1,1,1,1,1,3,1100.0,2,,2,2,2,2,15811.78,13209.44,13209.44,13209.44,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,2602.34,-127,0.0,9,7,2
