HB030,HH010,HH021,HH030,HH031,HH040,HH050,HH060,HH061,HH070,HH071,HH081,HH091,HS011,HS021,HS031,HS040,HS050,HS060,HS070,HS080,HS090,HS100,HS110,HS120,HS130,HS140,HS150,HS160,HS170,HS180,HS190,HY010,HY020,HY022,HY023,HY040G,HY040N,HY050G,HY050N,HY060G,HY070G,HY080G,HY081G,HY090G,HY090N,HY100G,HY110G,HY110N,HY120G,HY130G,HY131G,HY140G,HY145N,HY170G,DB090,AP,SL,M_K
108413,4,1,4,1999,2,1,,100.0,358.67,0,1,1,,3.0,,1,1,1,1,1,1,1,1,3,4000,2,,2,2,2,2,39444.55,26975.83,13351.83,13351.83,0.0,0.0,13624.0,13624.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,53,6500,0,5915.72,0,626.78,922.96884,3,7,2
108415,1,1,4,2009,2,1,,400.0,280.67,0,1,1,,3.0,3.0,2,1,2,1,1,1,1,1,3,5000,1,1.0,2,2,2,2,71605.46,48434.05,48122.05,48122.05,0.0,0.0,312.0,312.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,75,7000,0,16096.41,780,0.0,1103.27974,3,7,2
108416,4,1,2,1968,2,1,,100.0,336.67,0,1,1,,3.0,,2,1,1,1,1,1,1,3,4,1600,1,,2,2,1,2,27397.68,24306.25,23682.25,13224.49,0.0,0.0,624.0,624.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,3091.43,0,0.0,149.19868,6,4,1
108417,4,2,4,2008,2,2,,200.0,678.0,2400,1,1,2.0,2.0,2.0,2,2,2,1,1,1,1,1,1,2000,1,1.0,2,2,2,2,39306.15,32073.18,30825.18,30825.18,0.0,0.0,1248.0,1248.0,0.0,0.0,0,5000,0.0,0.0,3960,0.0,0,0,0,0,7232.97,124,0.0,155.34585,1,7,2
108418,1,1,6,1972,2,1,,1000.0,430.83,0,1,1,,3.0,,1,1,1,1,1,1,1,1,4,4000,3,,2,2,2,2,120720.94,95046.98,40167.76,40167.76,36000.0,28440.0,54879.22,44206.34,0.0,0.0,0,6000,790.0,584.6,0,0.0,0,150,0,0,25523.96,437,0.0,73.82132,2,6,1
108422,3,1,3,1999,1,2,,150.0,327.5,0,1,1,,3.0,,2,1,2,1,1,1,1,1,3,2500,1,,2,2,2,2,45825.8,37637.45,34051.93,34051.93,0.0,0.0,1560.0,1560.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,8188.35,107,7463.63,2179.7168300000003,6,7,2
108424,4,1,3,2000,2,1,,150.0,319.92,0,1,1,,3.0,,1,1,1,1,1,1,1,1,3,4000,2,,2,2,2,2,67244.96,51760.15,51604.15,51604.15,0.0,0.0,156.0,156.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,15484.81,0,0.0,627.69782,5,6,1
108425,1,1,3,1984,1,1,,1.0,260.33,0,1,1,,3.0,,2,1,2,1,1,2,1,2,2,2000,1,,2,2,2,2,22372.46,19667.12,19667.12,11087.36,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,2705.34,0,1143.89,424.70349000000004,1,7,2
108426,1,1,4,1987,2,1,,300.0,223.25,0,1,1,,3.0,,2,1,2,1,1,2,1,2,3,600,2,,2,2,2,2,10595.91,10092.98,10092.98,10092.98,0.0,0.0,0.0,0.0,0.0,0.0,8500,0,0.0,0.0,0,0.0,0,0,0,0,502.93,0,0.0,289.90907000000004,7,6,1
108427,4,1,2,1999,1,2,,400.0,360.83,0,1,1,,3.0,,1,1,2,1,1,1,1,1,2,1500,2,,1,1,2,2,36467.4,32147.09,30397.42,30397.42,0.0,0.0,1248.0,1248.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,4320.31,0,0.0,603.96136,2,2,1
