PB030,HB030,RB050,AGE,RB090,RB220,RB230,RB240,RL010,RL020,RL030,RL040,RL050,RL060,PB190,PB200,PE010,PE020,PE030,PE040,PH010,PH020,PH030,PH040,PH050,PH060,PH070,PL015,PL020,PL025,PL031,PL040,PL051,PL060,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL111,PL120,PL130,PL140,PL150,PY010G,PY010N,PY020G,PY021G,PY030G,PY035G,PY050G,PY050N,PY080G,PY090G,PY090N,PY100G,PY110G,PY120G,PY120N,PY130G,PY140G,AP,SL,M_K
10704602,107046,32.46883,53,2,,,10704603.0,,,,,,,2.0,1.0,2.0,,1976.0,3.0,3.0,2.0,3.0,2.0,,2.0,,1.0,1.0,1.0,5.0,3.0,52.0,,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765.16,0.0,2,2,1
10704603,107046,32.46883,58,1,,10704605.0,10704602.0,,,,,,,2.0,1.0,2.0,,1978.0,3.0,3.0,1.0,2.0,2.0,,2.0,,1.0,1.0,1.0,5.0,3.0,43.0,,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8599.08,0.0,0.0,0.0,0.0,0.0,2,2,1
10704604,107046,32.46883,12,2,10704603.0,10704602.0,,,30.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1
10704605,107046,32.46883,84,2,,,,,,,,,,4.0,3.0,2.0,,1938.0,1.0,,1.0,1.0,1.0,6.0,2.0,,1.0,,,7.0,3.0,96.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7648.92,798.0,0.0,0.0,0.0,0.0,2,2,1
10704802,107048,204.8674,77,2,,,,,,,,,,5.0,3.0,2.0,,1946.0,1.0,5.0,1.0,1.0,2.0,,1.0,2.0,1.0,,,7.0,3.0,44.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8364.0,0.0,0.0,0.0,0.0,0.0,2,6,1
10704901,107049,431.02389,66,2,,,,,,,,,,5.0,3.0,2.0,,1966.0,3.0,4.0,2.0,3.0,2.0,,2.0,,1.0,,,7.0,3.0,91.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10365.12,394.71,0.0,0.0,0.0,0.0,7,7,2
10705101,107051,68.85072,65,2,,,10705102.0,,,,,,,2.0,1.0,2.0,,1963.0,2.0,5.0,1.0,2.0,2.0,,2.0,,1.0,,,7.0,3.0,52.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7172.4,0.0,0.0,0.0,0.0,0.0,2,6,1
10705102,107051,68.85072,68,1,,,10705101.0,,,,,,,2.0,1.0,2.0,,1960.0,2.0,4.0,1.0,1.0,2.0,,2.0,,1.0,,,7.0,3.0,83.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9820.92,0.0,0.0,0.0,0.0,0.0,2,6,1
10705201,107052,159.62928,65,2,,,10705202.0,,,,,,,2.0,1.0,2.0,,1963.0,2.0,3.0,2.0,3.0,2.0,,2.0,,1.0,,,7.0,3.0,92.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6718.25,6718.25,0.0,0.0,0.0,7132.68,0.0,0.0,0.0,0.0,0.0,7,7,2
10705202,107052,159.62928,71,1,,,10705201.0,,,,,,,2.0,1.0,2.0,,1978.0,3.0,4.0,1.0,2.0,2.0,,2.0,,1.0,,,7.0,3.0,61.0,,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8880.72,0.0,0.0,0.0,0.0,0.0,7,7,2
